group,image_index,unknown_class,predicted_known_class,score,threshold,semantic_interpretation
near,897,wolf,cat,-10.019702911376953,-5.813921093940735,
near,9187,leopard,cat,-10.010457992553711,-5.813921093940735,
near,2340,wolf,cat,-9.994670867919922,-5.813921093940735,
near,7248,fox,dog,-9.994490623474121,-5.813921093940735,
near,4335,pickup_truck,truck,-9.96379566192627,-5.813921093940735,
near,6735,leopard,cat,-9.955239295959473,-5.813921093940735,
near,5078,wolf,dog,-9.949056625366211,-5.813921093940735,
near,338,fox,dog,-9.911092758178711,-5.813921093940735,
near,8996,tractor,ship,-9.904512405395508,-5.813921093940735,
near,2219,wolf,dog,-9.901250839233398,-5.813921093940735,
near,6447,wolf,cat,-9.899989128112793,-5.813921093940735,
near,2843,bus,truck,-9.899550437927246,-5.813921093940735,
near,2544,fox,deer,-9.884361267089844,-5.813921093940735,
near,2719,bus,truck,-9.878493309020996,-5.813921093940735,
near,1662,bus,truck,-9.863670349121094,-5.813921093940735,
near,2603,pickup_truck,automobile,-9.861902236938477,-5.813921093940735,
near,460,pickup_truck,automobile,-9.860418319702148,-5.813921093940735,
near,4316,pickup_truck,truck,-9.842093467712402,-5.813921093940735,
near,3731,wolf,dog,-9.832491874694824,-5.813921093940735,
near,6767,leopard,frog,-9.829680442810059,-5.813921093940735,
near,4173,bus,truck,-9.81236743927002,-5.813921093940735,
near,5654,bus,automobile,-9.771079063415527,-5.813921093940735,
near,5113,camel,bird,-9.758454322814941,-5.813921093940735,
near,4378,wolf,dog,-9.726115226745605,-5.813921093940735,
near,2591,bus,truck,-9.715153694152832,-5.813921093940735,
near,6116,bus,truck,-9.702579498291016,-5.813921093940735,
near,3026,bus,truck,-9.697340965270996,-5.813921093940735,
near,7799,fox,horse,-9.696549415588379,-5.813921093940735,
near,2203,bus,automobile,-9.676984786987305,-5.813921093940735,
near,3532,tractor,truck,-9.675225257873535,-5.813921093940735,
near,1478,bus,truck,-9.645242691040039,-5.813921093940735,
near,7135,wolf,dog,-9.639532089233398,-5.813921093940735,
near,7028,wolf,cat,-9.635818481445312,-5.813921093940735,
near,3376,motorcycle,automobile,-9.626408576965332,-5.813921093940735,
near,5184,bus,truck,-9.623329162597656,-5.813921093940735,
near,7133,bus,truck,-9.622081756591797,-5.813921093940735,
near,3538,wolf,dog,-9.593234062194824,-5.813921093940735,
near,9927,pickup_truck,automobile,-9.587322235107422,-5.813921093940735,
near,3197,bus,truck,-9.571141242980957,-5.813921093940735,
near,5163,bus,truck,-9.551362037658691,-5.813921093940735,
near,9835,bus,truck,-9.500155448913574,-5.813921093940735,
near,5853,bus,truck,-9.492402076721191,-5.813921093940735,
near,5698,leopard,frog,-9.489690780639648,-5.813921093940735,
near,8953,pickup_truck,automobile,-9.482898712158203,-5.813921093940735,
near,4185,bus,truck,-9.477710723876953,-5.813921093940735,
near,4889,fox,horse,-9.465142250061035,-5.813921093940735,
near,3887,bus,truck,-9.453232765197754,-5.813921093940735,
near,1328,leopard,dog,-9.434223175048828,-5.813921093940735,
near,8713,wolf,dog,-9.427168846130371,-5.813921093940735,
near,8085,bus,truck,-9.41495418548584,-5.813921093940735,
near,150,pickup_truck,truck,-9.408936500549316,-5.813921093940735,
near,6395,leopard,frog,-9.403651237487793,-5.813921093940735,
near,4602,wolf,dog,-9.401947021484375,-5.813921093940735,
near,4586,bus,automobile,-9.401500701904297,-5.813921093940735,
near,555,leopard,cat,-9.401211738586426,-5.813921093940735,
near,6279,motorcycle,automobile,-9.389731407165527,-5.813921093940735,
near,5762,camel,bird,-9.37285327911377,-5.813921093940735,
near,2665,bus,truck,-9.356371879577637,-5.813921093940735,
near,5008,pickup_truck,automobile,-9.341946601867676,-5.813921093940735,
near,5449,leopard,frog,-9.336118698120117,-5.813921093940735,
near,2435,fox,cat,-9.330533027648926,-5.813921093940735,
near,4588,pickup_truck,automobile,-9.329504013061523,-5.813921093940735,
near,6162,fox,cat,-9.308853149414062,-5.813921093940735,
near,1260,tractor,truck,-9.307388305664062,-5.813921093940735,
near,8731,fox,cat,-9.30440902709961,-5.813921093940735,
near,921,tractor,truck,-9.271132469177246,-5.813921093940735,
near,2123,tractor,truck,-9.270743370056152,-5.813921093940735,
near,4341,fox,airplane,-9.261016845703125,-5.813921093940735,
near,1445,bus,truck,-9.218520164489746,-5.813921093940735,
near,7207,pickup_truck,automobile,-9.208449363708496,-5.813921093940735,
near,5009,pickup_truck,automobile,-9.207509994506836,-5.813921093940735,
near,9587,wolf,cat,-9.194164276123047,-5.813921093940735,
near,94,bus,truck,-9.16301441192627,-5.813921093940735,
near,8126,bus,automobile,-9.146580696105957,-5.813921093940735,
near,5201,bus,truck,-9.14513874053955,-5.813921093940735,
near,8604,camel,deer,-9.137033462524414,-5.813921093940735,
near,4238,leopard,dog,-9.128307342529297,-5.813921093940735,
near,6574,pickup_truck,automobile,-9.1161470413208,-5.813921093940735,
near,2956,tractor,truck,-9.11078929901123,-5.813921093940735,
near,1498,fox,cat,-9.102495193481445,-5.813921093940735,
near,4515,pickup_truck,automobile,-9.101341247558594,-5.813921093940735,
near,9368,pickup_truck,truck,-9.082305908203125,-5.813921093940735,
near,9388,pickup_truck,automobile,-9.076362609863281,-5.813921093940735,
near,1271,bus,truck,-9.070589065551758,-5.813921093940735,
near,4691,tractor,truck,-9.066305160522461,-5.813921093940735,
near,3104,leopard,cat,-9.046306610107422,-5.813921093940735,
near,9232,bus,truck,-9.034187316894531,-5.813921093940735,
near,3849,wolf,cat,-9.030731201171875,-5.813921093940735,
near,2882,pickup_truck,automobile,-9.012808799743652,-5.813921093940735,
near,6075,pickup_truck,automobile,-9.00892448425293,-5.813921093940735,
near,7875,wolf,cat,-9.00306510925293,-5.813921093940735,
near,8918,wolf,dog,-8.994932174682617,-5.813921093940735,
near,2842,wolf,cat,-8.982744216918945,-5.813921093940735,
near,632,wolf,cat,-8.980168342590332,-5.813921093940735,
near,7900,pickup_truck,automobile,-8.973665237426758,-5.813921093940735,
near,9842,fox,deer,-8.9700345993042,-5.813921093940735,
near,9261,leopard,frog,-8.94446849822998,-5.813921093940735,
near,2396,pickup_truck,automobile,-8.937788009643555,-5.813921093940735,
near,9880,pickup_truck,truck,-8.928730964660645,-5.813921093940735,
near,4464,bus,truck,-8.893940925598145,-5.813921093940735,
near,9447,pickup_truck,automobile,-8.893253326416016,-5.813921093940735,
near,3276,bus,truck,-8.883623123168945,-5.813921093940735,
near,7962,pickup_truck,truck,-8.882861137390137,-5.813921093940735,
near,255,wolf,cat,-8.876275062561035,-5.813921093940735,
near,2100,pickup_truck,automobile,-8.874685287475586,-5.813921093940735,
near,1327,pickup_truck,automobile,-8.868584632873535,-5.813921093940735,
near,3106,bus,truck,-8.843121528625488,-5.813921093940735,
near,4463,pickup_truck,automobile,-8.827020645141602,-5.813921093940735,
near,769,camel,airplane,-8.813212394714355,-5.813921093940735,
near,3817,wolf,dog,-8.808415412902832,-5.813921093940735,
near,4788,bus,automobile,-8.798080444335938,-5.813921093940735,
near,6176,bus,truck,-8.788216590881348,-5.813921093940735,
near,4610,tractor,truck,-8.786063194274902,-5.813921093940735,
near,5149,pickup_truck,truck,-8.774460792541504,-5.813921093940735,
near,8958,bus,automobile,-8.769021987915039,-5.813921093940735,
near,2102,wolf,bird,-8.75806999206543,-5.813921093940735,
near,9704,tractor,truck,-8.743849754333496,-5.813921093940735,
near,9318,leopard,cat,-8.723052024841309,-5.813921093940735,
near,8082,pickup_truck,automobile,-8.706292152404785,-5.813921093940735,
near,9019,tractor,truck,-8.69861125946045,-5.813921093940735,
near,1572,camel,deer,-8.696268081665039,-5.813921093940735,
near,1145,pickup_truck,automobile,-8.696226119995117,-5.813921093940735,
near,507,pickup_truck,truck,-8.694512367248535,-5.813921093940735,
near,6561,wolf,cat,-8.693198204040527,-5.813921093940735,
near,5142,leopard,cat,-8.690305709838867,-5.813921093940735,
near,5231,leopard,frog,-8.67984390258789,-5.813921093940735,
near,5110,pickup_truck,automobile,-8.667871475219727,-5.813921093940735,
near,7752,wolf,cat,-8.665874481201172,-5.813921093940735,
near,8143,camel,cat,-8.654458999633789,-5.813921093940735,
near,3732,motorcycle,truck,-8.651285171508789,-5.813921093940735,
near,3074,leopard,frog,-8.63879108428955,-5.813921093940735,
near,9942,wolf,dog,-8.618968963623047,-5.813921093940735,
near,8634,wolf,cat,-8.6038236618042,-5.813921093940735,
near,353,pickup_truck,automobile,-8.59508991241455,-5.813921093940735,
near,4821,pickup_truck,automobile,-8.575127601623535,-5.813921093940735,
near,4104,bus,airplane,-8.573986053466797,-5.813921093940735,
near,2321,pickup_truck,automobile,-8.569720268249512,-5.813921093940735,
near,5832,fox,deer,-8.565032958984375,-5.813921093940735,
near,8324,leopard,cat,-8.561971664428711,-5.813921093940735,
near,7279,fox,cat,-8.557779312133789,-5.813921093940735,
near,7884,tractor,ship,-8.549555778503418,-5.813921093940735,
near,8780,camel,horse,-8.534672737121582,-5.813921093940735,
near,4519,camel,bird,-8.534650802612305,-5.813921093940735,
near,9429,pickup_truck,automobile,-8.53402042388916,-5.813921093940735,
near,8455,pickup_truck,automobile,-8.533303260803223,-5.813921093940735,
near,1771,leopard,deer,-8.532184600830078,-5.813921093940735,
near,9288,tractor,truck,-8.521445274353027,-5.813921093940735,
near,2948,camel,deer,-8.516254425048828,-5.813921093940735,
near,1026,wolf,dog,-8.499345779418945,-5.813921093940735,
near,9110,camel,horse,-8.477293968200684,-5.813921093940735,
near,2756,fox,cat,-8.465841293334961,-5.813921093940735,
near,6430,tractor,truck,-8.454832077026367,-5.813921093940735,
near,4881,pickup_truck,automobile,-8.450023651123047,-5.813921093940735,
near,8904,leopard,frog,-8.442691802978516,-5.813921093940735,
near,7308,wolf,dog,-8.426198959350586,-5.813921093940735,
near,6712,bus,truck,-8.425601959228516,-5.813921093940735,
near,5495,tractor,truck,-8.386370658874512,-5.813921093940735,
near,5732,pickup_truck,automobile,-8.37126350402832,-5.813921093940735,
near,945,leopard,frog,-8.366172790527344,-5.813921093940735,
near,8219,pickup_truck,automobile,-8.362350463867188,-5.813921093940735,
near,4234,camel,deer,-8.347055435180664,-5.813921093940735,
near,7225,fox,cat,-8.343616485595703,-5.813921093940735,
near,1212,pickup_truck,automobile,-8.33532428741455,-5.813921093940735,
near,7441,bus,truck,-8.32442855834961,-5.813921093940735,
near,7582,wolf,deer,-8.304814338684082,-5.813921093940735,
near,5285,camel,dog,-8.29022216796875,-5.813921093940735,
near,4153,wolf,cat,-8.281086921691895,-5.813921093940735,
near,5550,tractor,truck,-8.277949333190918,-5.813921093940735,
near,5084,fox,cat,-8.268826484680176,-5.813921093940735,
near,1489,bus,truck,-8.267539024353027,-5.813921093940735,
near,317,camel,bird,-8.267135620117188,-5.813921093940735,
near,4435,camel,dog,-8.262788772583008,-5.813921093940735,
near,6324,wolf,cat,-8.261863708496094,-5.813921093940735,
near,9575,leopard,frog,-8.260841369628906,-5.813921093940735,
near,5015,bus,truck,-8.254858016967773,-5.813921093940735,
near,5458,leopard,cat,-8.241170883178711,-5.813921093940735,
near,6652,wolf,horse,-8.227144241333008,-5.813921093940735,
near,8407,wolf,cat,-8.215648651123047,-5.813921093940735,
near,1345,wolf,cat,-8.208171844482422,-5.813921093940735,
near,7812,bus,truck,-8.2046537399292,-5.813921093940735,
near,5619,fox,cat,-8.18951416015625,-5.813921093940735,
near,2484,bus,truck,-8.18066692352295,-5.813921093940735,
near,3605,fox,dog,-8.17860221862793,-5.813921093940735,
near,5317,pickup_truck,automobile,-8.1731538772583,-5.813921093940735,
near,17,wolf,cat,-8.171506881713867,-5.813921093940735,
near,2618,wolf,cat,-8.16616153717041,-5.813921093940735,
near,9142,camel,horse,-8.161556243896484,-5.813921093940735,
near,2064,wolf,dog,-8.156243324279785,-5.813921093940735,
near,626,motorcycle,automobile,-8.149473190307617,-5.813921093940735,
near,3558,motorcycle,automobile,-8.149328231811523,-5.813921093940735,
near,9768,wolf,cat,-8.145849227905273,-5.813921093940735,
near,2675,tractor,truck,-8.143982887268066,-5.813921093940735,
near,149,pickup_truck,automobile,-8.142984390258789,-5.813921093940735,
near,1510,camel,deer,-8.131734848022461,-5.813921093940735,
near,6401,leopard,frog,-8.128938674926758,-5.813921093940735,
near,796,pickup_truck,truck,-8.120205879211426,-5.813921093940735,
near,4754,fox,deer,-8.104974746704102,-5.813921093940735,
near,5756,pickup_truck,automobile,-8.104440689086914,-5.813921093940735,
near,6807,tractor,truck,-8.102404594421387,-5.813921093940735,
near,2647,leopard,frog,-8.099272727966309,-5.813921093940735,
near,3877,wolf,cat,-8.097150802612305,-5.813921093940735,
near,969,fox,cat,-8.089302062988281,-5.813921093940735,
near,156,pickup_truck,truck,-8.085965156555176,-5.813921093940735,
near,7590,tractor,truck,-8.0691556930542,-5.813921093940735,
near,4663,tractor,truck,-8.0433931350708,-5.813921093940735,
near,5781,wolf,cat,-8.032137870788574,-5.813921093940735,
near,5291,wolf,dog,-8.030158996582031,-5.813921093940735,
near,5715,pickup_truck,automobile,-7.9990620613098145,-5.813921093940735,
near,7087,wolf,cat,-7.996099472045898,-5.813921093940735,
near,8023,bus,truck,-7.9942545890808105,-5.813921093940735,
near,3484,tractor,truck,-7.979650974273682,-5.813921093940735,
near,5905,leopard,frog,-7.976809024810791,-5.813921093940735,
near,8391,pickup_truck,truck,-7.960400104522705,-5.813921093940735,
near,8966,pickup_truck,automobile,-7.950772762298584,-5.813921093940735,
near,8187,fox,cat,-7.923225402832031,-5.813921093940735,
near,7128,camel,horse,-7.916718006134033,-5.813921093940735,
near,1799,fox,cat,-7.916375160217285,-5.813921093940735,
near,1320,fox,dog,-7.9081339836120605,-5.813921093940735,
near,1698,fox,deer,-7.9065752029418945,-5.813921093940735,
near,4611,leopard,frog,-7.902313709259033,-5.813921093940735,
near,7445,camel,deer,-7.887182712554932,-5.813921093940735,
near,8735,fox,cat,-7.878332614898682,-5.813921093940735,
near,8150,fox,cat,-7.870935440063477,-5.813921093940735,
near,9346,wolf,dog,-7.853837966918945,-5.813921093940735,
near,2415,camel,deer,-7.832890510559082,-5.813921093940735,
near,7125,wolf,cat,-7.8273115158081055,-5.813921093940735,
near,1060,camel,horse,-7.8166680335998535,-5.813921093940735,
near,3748,motorcycle,cat,-7.809438228607178,-5.813921093940735,
near,9612,leopard,frog,-7.809387683868408,-5.813921093940735,
near,8695,leopard,frog,-7.803930282592773,-5.813921093940735,
near,7376,bus,truck,-7.789821624755859,-5.813921093940735,
near,9504,pickup_truck,truck,-7.77770471572876,-5.813921093940735,
near,9965,wolf,dog,-7.771790981292725,-5.813921093940735,
near,9345,motorcycle,automobile,-7.759195804595947,-5.813921093940735,
near,2144,tractor,truck,-7.7569966316223145,-5.813921093940735,
near,3567,leopard,dog,-7.751950263977051,-5.813921093940735,
near,5175,motorcycle,truck,-7.749780178070068,-5.813921093940735,
near,5920,bus,truck,-7.74817419052124,-5.813921093940735,
near,9930,bus,truck,-7.740069389343262,-5.813921093940735,
near,8258,tractor,truck,-7.739693641662598,-5.813921093940735,
near,9203,tractor,truck,-7.737217426300049,-5.813921093940735,
near,684,wolf,dog,-7.736654758453369,-5.813921093940735,
near,7407,leopard,frog,-7.734694957733154,-5.813921093940735,
near,619,bus,automobile,-7.72603178024292,-5.813921093940735,
near,1034,bus,truck,-7.72524356842041,-5.813921093940735,
near,299,tractor,automobile,-7.721164703369141,-5.813921093940735,
near,2698,bus,automobile,-7.704096794128418,-5.813921093940735,
near,5029,camel,deer,-7.699690818786621,-5.813921093940735,
near,3868,bus,automobile,-7.699233531951904,-5.813921093940735,
near,952,leopard,cat,-7.695618152618408,-5.813921093940735,
near,5478,leopard,deer,-7.684355735778809,-5.813921093940735,
near,6552,wolf,cat,-7.684110641479492,-5.813921093940735,
near,9572,bus,truck,-7.679701328277588,-5.813921093940735,
near,957,bus,truck,-7.667395114898682,-5.813921093940735,
near,7508,bus,truck,-7.646197319030762,-5.813921093940735,
near,766,bus,truck,-7.6412529945373535,-5.813921093940735,
near,4182,fox,deer,-7.640462398529053,-5.813921093940735,
near,7109,motorcycle,automobile,-7.6327223777771,-5.813921093940735,
near,1752,wolf,cat,-7.631919860839844,-5.813921093940735,
near,5634,bus,truck,-7.629708766937256,-5.813921093940735,
near,6924,leopard,frog,-7.623706340789795,-5.813921093940735,
near,7412,leopard,frog,-7.60774564743042,-5.813921093940735,
near,4201,bus,truck,-7.595250129699707,-5.813921093940735,
near,5445,tractor,truck,-7.591010570526123,-5.813921093940735,
near,5129,pickup_truck,truck,-7.5656046867370605,-5.813921093940735,
near,2933,wolf,cat,-7.5395097732543945,-5.813921093940735,
near,8165,pickup_truck,automobile,-7.533766269683838,-5.813921093940735,
near,3236,bus,automobile,-7.516289710998535,-5.813921093940735,
near,3644,fox,deer,-7.481168270111084,-5.813921093940735,
near,2986,wolf,dog,-7.475834369659424,-5.813921093940735,
near,4283,wolf,cat,-7.475683212280273,-5.813921093940735,
near,5293,camel,horse,-7.474745750427246,-5.813921093940735,
near,7367,leopard,frog,-7.457514762878418,-5.813921093940735,
near,5572,motorcycle,automobile,-7.455600261688232,-5.813921093940735,
near,5425,wolf,dog,-7.446650981903076,-5.813921093940735,
near,8648,camel,bird,-7.443954944610596,-5.813921093940735,
near,7866,pickup_truck,automobile,-7.428874969482422,-5.813921093940735,
near,3177,tractor,truck,-7.416210174560547,-5.813921093940735,
near,6616,camel,dog,-7.411792755126953,-5.813921093940735,
near,8609,bus,truck,-7.411703109741211,-5.813921093940735,
near,8026,tractor,truck,-7.398534297943115,-5.813921093940735,
near,2992,tractor,airplane,-7.385363578796387,-5.813921093940735,
near,1023,motorcycle,truck,-7.379756450653076,-5.813921093940735,
near,9317,wolf,cat,-7.369093894958496,-5.813921093940735,
near,6061,leopard,cat,-7.363255977630615,-5.813921093940735,
near,9546,bus,truck,-7.361375331878662,-5.813921093940735,
near,3608,fox,cat,-7.34969425201416,-5.813921093940735,
near,2834,camel,horse,-7.348796844482422,-5.813921093940735,
near,6930,tractor,truck,-7.344377040863037,-5.813921093940735,
near,1913,pickup_truck,truck,-7.339580059051514,-5.813921093940735,
near,1882,camel,cat,-7.33366060256958,-5.813921093940735,
near,4004,fox,cat,-7.306702613830566,-5.813921093940735,
near,3549,leopard,cat,-7.278184413909912,-5.813921093940735,
near,8947,pickup_truck,truck,-7.272369861602783,-5.813921093940735,
near,2828,fox,cat,-7.269680976867676,-5.813921093940735,
near,2518,fox,dog,-7.248592853546143,-5.813921093940735,
near,4285,wolf,dog,-7.216121673583984,-5.813921093940735,
near,3368,fox,deer,-7.209277153015137,-5.813921093940735,
near,7333,camel,dog,-7.20427131652832,-5.813921093940735,
near,6816,fox,dog,-7.202293872833252,-5.813921093940735,
near,2012,pickup_truck,truck,-7.197543144226074,-5.813921093940735,
near,5472,leopard,cat,-7.195380687713623,-5.813921093940735,
near,3200,leopard,cat,-7.186091899871826,-5.813921093940735,
near,2349,fox,deer,-7.176623344421387,-5.813921093940735,
near,8596,bus,truck,-7.172506809234619,-5.813921093940735,
near,4621,fox,deer,-7.1712727546691895,-5.813921093940735,
near,5031,wolf,cat,-7.170612335205078,-5.813921093940735,
near,9205,motorcycle,automobile,-7.169656753540039,-5.813921093940735,
near,8329,tractor,truck,-7.1679253578186035,-5.813921093940735,
near,8101,wolf,cat,-7.167110919952393,-5.813921093940735,
near,354,motorcycle,automobile,-7.1632771492004395,-5.813921093940735,
near,259,leopard,cat,-7.16091251373291,-5.813921093940735,
near,274,leopard,frog,-7.146137714385986,-5.813921093940735,
near,2336,fox,deer,-7.143858909606934,-5.813921093940735,
near,5516,camel,bird,-7.142798900604248,-5.813921093940735,
near,5399,leopard,cat,-7.1260480880737305,-5.813921093940735,
near,1425,fox,deer,-7.123856544494629,-5.813921093940735,
near,4387,pickup_truck,truck,-7.12102746963501,-5.813921093940735,
near,5253,camel,dog,-7.119500637054443,-5.813921093940735,
near,3487,wolf,dog,-7.118227958679199,-5.813921093940735,
near,8906,tractor,airplane,-7.117063999176025,-5.813921093940735,
near,5726,fox,bird,-7.104785919189453,-5.813921093940735,
near,58,leopard,cat,-7.102132797241211,-5.813921093940735,
near,8717,bus,truck,-7.089573383331299,-5.813921093940735,
near,313,leopard,cat,-7.088630199432373,-5.813921093940735,
near,1133,fox,deer,-7.078380584716797,-5.813921093940735,
near,1081,tractor,truck,-7.060012340545654,-5.813921093940735,
near,8693,pickup_truck,truck,-7.050412654876709,-5.813921093940735,
near,5327,tractor,truck,-7.041763782501221,-5.813921093940735,
near,5408,wolf,cat,-7.040197372436523,-5.813921093940735,
near,5664,camel,dog,-7.033046245574951,-5.813921093940735,
near,8109,fox,deer,-7.032242298126221,-5.813921093940735,
near,4255,fox,horse,-7.0317063331604,-5.813921093940735,
near,2051,camel,horse,-7.018565654754639,-5.813921093940735,
near,7561,wolf,bird,-7.01401424407959,-5.813921093940735,
near,2946,camel,dog,-7.009843826293945,-5.813921093940735,
near,7417,leopard,frog,-7.006290912628174,-5.813921093940735,
near,1491,pickup_truck,automobile,-7.004302501678467,-5.813921093940735,
near,5738,pickup_truck,automobile,-6.9901204109191895,-5.813921093940735,
near,9886,wolf,dog,-6.989854335784912,-5.813921093940735,
near,7298,camel,horse,-6.970901012420654,-5.813921093940735,
near,3412,tractor,truck,-6.9669365882873535,-5.813921093940735,
near,1620,leopard,cat,-6.961455821990967,-5.813921093940735,
near,7160,motorcycle,automobile,-6.9594950675964355,-5.813921093940735,
near,5455,camel,horse,-6.955576419830322,-5.813921093940735,
near,1432,fox,cat,-6.931217193603516,-5.813921093940735,
near,9676,pickup_truck,automobile,-6.928229808807373,-5.813921093940735,
near,7973,fox,cat,-6.919898509979248,-5.813921093940735,
near,2826,wolf,deer,-6.912107467651367,-5.813921093940735,
near,5519,camel,deer,-6.911892414093018,-5.813921093940735,
near,4998,bus,truck,-6.898830890655518,-5.813921093940735,
near,4320,leopard,cat,-6.888538360595703,-5.813921093940735,
near,3630,pickup_truck,truck,-6.882584095001221,-5.813921093940735,
near,3054,motorcycle,airplane,-6.88070011138916,-5.813921093940735,
near,5249,camel,dog,-6.876895904541016,-5.813921093940735,
near,939,wolf,cat,-6.866958141326904,-5.813921093940735,
near,8418,wolf,cat,-6.8581438064575195,-5.813921093940735,
near,7816,bus,truck,-6.838083744049072,-5.813921093940735,
near,6866,tractor,truck,-6.837522029876709,-5.813921093940735,
near,7119,pickup_truck,truck,-6.834925651550293,-5.813921093940735,
near,4468,bus,truck,-6.819060802459717,-5.813921093940735,
near,6063,tractor,truck,-6.81817102432251,-5.813921093940735,
near,4703,fox,deer,-6.816954612731934,-5.813921093940735,
near,2029,tractor,truck,-6.81469202041626,-5.813921093940735,
near,7194,camel,deer,-6.810512065887451,-5.813921093940735,
near,4992,leopard,frog,-6.806015491485596,-5.813921093940735,
near,5141,tractor,automobile,-6.800769329071045,-5.813921093940735,
near,5064,bus,truck,-6.784548282623291,-5.813921093940735,
near,7609,leopard,cat,-6.778524398803711,-5.813921093940735,
near,811,camel,deer,-6.7783589363098145,-5.813921093940735,
near,4808,bus,airplane,-6.775032997131348,-5.813921093940735,
near,7974,leopard,cat,-6.761750221252441,-5.813921093940735,
near,4731,tractor,truck,-6.753267288208008,-5.813921093940735,
near,7289,motorcycle,automobile,-6.7517781257629395,-5.813921093940735,
near,751,camel,cat,-6.735565185546875,-5.813921093940735,
near,7021,fox,cat,-6.7281084060668945,-5.813921093940735,
near,5650,motorcycle,automobile,-6.719092845916748,-5.813921093940735,
near,6360,tractor,automobile,-6.715622425079346,-5.813921093940735,
near,3947,bus,truck,-6.7098469734191895,-5.813921093940735,
near,5350,motorcycle,truck,-6.706810474395752,-5.813921093940735,
near,7621,fox,cat,-6.700806140899658,-5.813921093940735,
near,1227,fox,cat,-6.694177627563477,-5.813921093940735,
near,4027,tractor,truck,-6.686552047729492,-5.813921093940735,
near,2033,motorcycle,truck,-6.686028003692627,-5.813921093940735,
near,1155,pickup_truck,truck,-6.679616451263428,-5.813921093940735,
near,3338,leopard,cat,-6.675319194793701,-5.813921093940735,
near,9662,pickup_truck,automobile,-6.651170253753662,-5.813921093940735,
near,6080,fox,deer,-6.649957180023193,-5.813921093940735,
near,6160,wolf,cat,-6.630983352661133,-5.813921093940735,
near,1423,camel,dog,-6.625615119934082,-5.813921093940735,
near,5494,camel,horse,-6.618076801300049,-5.813921093940735,
near,1568,pickup_truck,automobile,-6.616743564605713,-5.813921093940735,
near,9252,bus,truck,-6.612454414367676,-5.813921093940735,
near,803,pickup_truck,automobile,-6.612250804901123,-5.813921093940735,
near,3760,fox,cat,-6.602075576782227,-5.813921093940735,
near,9647,camel,horse,-6.601215839385986,-5.813921093940735,
near,7373,fox,deer,-6.587618827819824,-5.813921093940735,
near,1404,motorcycle,cat,-6.578335285186768,-5.813921093940735,
near,9017,motorcycle,automobile,-6.565863609313965,-5.813921093940735,
near,995,tractor,truck,-6.5604166984558105,-5.813921093940735,
near,8405,fox,deer,-6.557895183563232,-5.813921093940735,
near,6746,wolf,cat,-6.554994583129883,-5.813921093940735,
near,3564,bus,truck,-6.550662994384766,-5.813921093940735,
